Time,Weather,Vehicle_Type,Road_Surface,Accident_Severity
19:30,Storm,Bus,Snowy,Fatal
08:45,Storm,Truck,Wet,Minor
19:00,Snow,Car,Icy,Minor
10:30,Snow,Van,Dry,Fatal
12:45,Storm,Bike,Icy,Fatal
23:45,Snow,Car,Snowy,Minor
06:15,Storm,Van,Dry,Fatal
01:45,Storm,Bus,Dry,Severe
12:30,Snow,Car,Snowy,Severe
08:30,Fog,Bike,Wet,Minor
14:45,Storm,Bus,Dry,Severe
22:45,Clear,Van,Icy,Minor
05:15,Clear,Truck,Snowy,Fatal
20:45,Clear,Van,Icy,Severe
16:30,Fog,Car,Dry,Fatal
20:15,Rain,Truck,Snowy,Minor
16:30,Clear,Car,Snowy,Minor
21:15,Snow,Bus,Wet,Severe
11:00,Rain,Car,Wet,Minor
23:00,Clear,Bus,Icy,Minor
23:15,Storm,Bike,Snowy,Minor
09:30,Snow,Truck,Icy,Severe
05:30,Rain,Truck,Icy,Fatal
04:30,Snow,Truck,Wet,Severe
12:15,Storm,Truck,Snowy,Severe
21:00,Snow,Van,Icy,Severe
08:00,Fog,Car,Snowy,Severe
16:00,Storm,Car,Dry,Severe
18:45,Storm,Van,Wet,Severe
18:30,Clear,Truck,Icy,Minor
11:15,Storm,Truck,Snowy,Severe
13:00,Snow,Car,Wet,Fatal
02:00,Storm,Van,Snowy,Fatal
15:15,Rain,Van,Snowy,Severe
01:00,Snow,Car,Icy,Minor
03:30,Storm,Bike,Icy,Fatal
14:30,Clear,Bike,Icy,Severe
20:15,Snow,Truck,Icy,Severe
06:00,Storm,Car,Wet,Fatal
10:00,Storm,Bike,Dry,Minor
06:30,Rain,Truck,Snowy,Severe
08:30,Snow,Bus,Wet,Severe
07:00,Storm,Bus,Wet,Fatal
00:00,Rain,Bike,Dry,Fatal
22:45,Clear,Car,Icy,Severe
20:30,Storm,Truck,Icy,Severe
11:30,Storm,Bus,Wet,Fatal
00:45,Clear,Bike,Wet,Severe
08:45,Rain,Car,Snowy,Severe
05:00,Rain,Car,Dry,Severe
15:15,Rain,Van,Wet,Fatal
06:15,Fog,Car,Wet,Fatal
01:00,Snow,Bus,Dry,Minor
07:30,Snow,Van,Wet,Fatal
02:30,Storm,Truck,Dry,Severe
15:45,Rain,Bike,Dry,Severe
17:15,Storm,Truck,Wet,Fatal
09:00,Snow,Car,Dry,Fatal
03:30,Storm,Van,Snowy,Fatal
22:30,Storm,Truck,Wet,Fatal
11:15,Clear,Bike,Dry,Severe
14:30,Clear,Car,Wet,Minor
22:00,Fog,Van,Icy,Minor
00:00,Snow,Bus,Icy,Minor
16:00,Snow,Bike,Icy,Minor
21:45,Clear,Bus,Wet,Severe
12:45,Storm,Bus,Snowy,Severe
08:15,Fog,Car,Wet,Fatal
11:15,Storm,Car,Wet,Fatal
21:15,Storm,Bike,Wet,Minor
21:30,Snow,Van,Dry,Minor
11:45,Snow,Car,Snowy,Fatal
13:00,Clear,Bike,Wet,Severe
09:45,Snow,Bike,Icy,Severe
21:30,Fog,Bus,Snowy,Minor
19:30,Storm,Bike,Snowy,Minor
10:15,Clear,Truck,Snowy,Fatal
23:45,Clear,Truck,Snowy,Minor
20:30,Fog,Car,Icy,Severe
22:15,Storm,Bike,Wet,Minor
20:15,Storm,Van,Dry,Fatal
01:45,Storm,Car,Wet,Minor
08:00,Rain,Truck,Wet,Severe
00:45,Rain,Car,Wet,Minor
15:45,Storm,Bike,Wet,Fatal
21:45,Storm,Truck,Dry,Fatal
19:15,Fog,Truck,Icy,Severe
01:30,Storm,Car,Snowy,Severe
09:00,Fog,Bike,Snowy,Fatal
22:30,Fog,Van,Snowy,Minor
14:15,Rain,Car,Dry,Severe
04:45,Rain,Bike,Snowy,Minor
18:15,Rain,Truck,Snowy,Severe
05:00,Fog,Car,Snowy,Severe
05:30,Fog,Truck,Dry,Fatal
23:30,Storm,Car,Icy,Minor
13:15,Clear,Van,Dry,Severe
04:30,Snow,Bus,Snowy,Severe
16:15,Clear,Bike,Icy,Minor
15:30,Rain,Bus,Dry,Fatal
